Code du département;Code du canton;Inscrits;Exprimés;% Abs/Ins;%BLCNUL/VOT;% Exp/Vot;BC-COM;BC-DIV;BC-DLF;BC-DVD;BC-DVG;BC-EXD;BC-EXG;BC-FG;BC-FN;BC-MDM;BC-PG;BC-RDG;BC-SOC;BC-UC;BC-UD;BC-UDI;BC-UG;BC-UMP;BC-VEC
3;14;14316;6791;49.57;0.0594182825484764;94.06;0.0;0.0;0.0;0.3939036960683257;0.0;0.0;0.0;0.1126490943896333;0.2239729053158592;0.0;0.0;0.0;0.2694743042261817;0.0;0.0;0.0;0.0;0.0;0.0
3;15;14307;7494;45.1;0.0459579885423297;95.4;0.0;0.0;0.0;0.4962636776087537;0.0;0.0;0.0;0.0;0.2344542300507072;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2692820923405391;0.0;0.0
3;16;11775;6972;37.74;0.0489701268585459;95.1;0.5470453241537578;0.0;0.0;0.3016351118760757;0.0;0.0;0.0;0.0;0.1513195639701663;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;17;13467;6427;50.03;0.0448803685540199;95.51;0.0;0.0;0.0;0.4936984596234635;0.2382137855920336;0.0;0.0;0.0;0.2680877547845028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;18;12741;5625;53.01;0.0604643394020377;93.95;0.0;0.0;0.0;0.0;0.1464888888888889;0.0;0.0;0.0;0.2590222222222222;0.0;0.0;0.0;0.1635555555555555;0.0;0.0;0.0;0.0;0.4309333333333333;0.0
3;19;12794;6751;44.81;0.0439031298682906;95.61;0.0;0.0;0.0;0.2168567619611909;0.0;0.0;0.0;0.1802695896904162;0.1930084431936009;0.0;0.0;0.0;0.4098652051547918;0.0;0.0;0.0;0.0;0.0;0.0
4;1;6664;3157;47.66;0.0948967889908256;90.51;0.0;0.0;0.0;0.433006018371872;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4108330693696547;0.0;0.1561609122584732;0.0;0.0;0.0;0.0
4;2;8568;5163;36.59;0.0496963003865267;95.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2058880495835754;0.0;0.0;0.0;0.4261088514429595;0.0;0.0;0.0;0.0;0.368003098973465;0.0
4;3;9433;5069;44.11;0.0385053110773899;96.15;0.0;0.0613533241270467;0.0;0.0;0.0;0.0;0.0;0.0757545867034918;0.25290984415072;0.0;0.0;0.0;0.3620043401065299;0.0;0.0;0.0;0.0;0.2479779049122114;0.0
4;4;8093;4203;45.04;0.0550809352517985;94.49;0.0;0.0;0.0;0.0;0.0;0.032119914346895;0.0;0.1149179157744468;0.2205567451820128;0.0;0.0;0.0;0.2964549131572686;0.0;0.0;0.0;0.0;0.2288841303830597;0.1070663811563169
4;5;8807;4712;43.87;0.0467327533886303;95.33;0.0;0.0;0.071943972835314;0.0;0.265704584040747;0.0;0.0;0.1320033955857385;0.2563667232597623;0.0;0.0;0.0;0.0;0.0;0.1982173174872665;0.0;0.0;0.0;0.0757640067911714
4;6;8422;4401;41.85;0.1012865019399632;89.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2272210861167916;0.0;0.0;0.0;0.0;0.3683253805953192;0.0;0.4044535332878891;0.0;0.0;0.0;0.0
4;7;8992;4249;50.78;0.0399909624943515;96.0;0.0;0.0;0.0;0.0;0.2803012473523182;0.0;0.0;0.1042598258413744;0.2765356554483408;0.0;0.0;0.0;0.0;0.0;0.3389032713579666;0.0;0.0;0.0;0.0
4;8;7794;3871;48.58;0.0341816367265469;96.58;0.0;0.0;0.0;0.0878326013949883;0.0;0.0;0.0;0.0984241797985016;0.2309480754327047;0.0;0.0;0.0;0.2888142598811676;0.0;0.2270731077241023;0.0;0.0;0.0;0.0669077757685352
4;9;8123;3528;51.72;0.1004589495155532;89.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2820294784580499;0.0;0.0;0.0;0.0;0.2202380952380952;0.0;0.4977324263038549;0.0;0.0;0.0;0.0
4;10;9809;4882;48.01;0.0427450980392156;95.73;0.0;0.0;0.0;0.2521507578861122;0.0;0.0;0.0;0.2494879147890208;0.3273248668578451;0.0;0.0;0.0;0.0;0.0;0.1710364604670217;0.0;0.0;0.0;0.0
4;11;8689;4320;44.93;0.0971786833855799;90.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2629629629629629;0.0;0.0;0.0;0.0;0.3567129629629629;0.0;0.3803240740740741;0.0;0.0;0.0;0.0
4;12;7682;4332;40.51;0.0520787746170678;94.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.144506001846722;0.2633887349953832;0.0;0.0;0.0;0.3081717451523545;0.0;0.2100646352723915;0.0;0.0;0.0;0.0738688827331486
4;13;7342;4352;37.99;0.0441467164506918;95.59;0.0;0.0;0.0;0.1204044117647058;0.2024356617647058;0.0;0.0;0.0;0.2389705882352941;0.0;0.0;0.0;0.2817095588235294;0.0;0.1564797794117647;0.0;0.0;0.0;0.0
4;14;9616;4857;45.41;0.0746808915983996;92.53;0.0;0.0;0.0;0.0;0.1675931645048383;0.1756228124356598;0.0;0.1099444101297097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4541898291126209;0.0926497838171711
4;15;7129;4003;41.46;0.0407380781212556;95.93;0.0;0.0;0.0;0.1294029477891581;0.0;0.0;0.0;0.0921808643517362;0.3095178616037971;0.0;0.0;0.0;0.2765425930552086;0.0;0.1923557332000999;0.0;0.0;0.0;0.0
5;1;5437;2572;48.43;0.0827389443651925;91.73;0.0;0.0;0.0;0.5493779160186625;0.2900466562986003;0.0;0.0;0.1605754276827371;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
