CODDPT;CODCAN;CODSUBCOM;CODBURVOT;BC-FG;BC-FN;BC-SOC;BC-UD;BC-UDI;BC-UG
18;5;33;0051;0.0;0.0;0.547112462006079;0.45288753799392095;0.0;0.0
18;5;33;0052;0.0;0.0;0.5708661417322834;0.42913385826771655;0.0;0.0
18;5;33;0053;0.0;0.0;0.7021276595744681;0.2978723404255319;0.0;0.0
18;5;33;0054;0.0;0.0;0.48534201954397393;0.5146579804560261;0.0;0.0
18;5;33;0055;0.0;0.0;0.4424083769633508;0.5575916230366492;0.0;0.0
18;5;33;0056;0.0;0.0;0.7045454545454546;0.29545454545454547;0.0;0.0
18;5;33;0057;0.0;0.0;0.5907172995780591;0.4092827004219409;0.0;0.0
18;5;33;0058;0.0;0.0;0.41832669322709165;0.5816733067729084;0.0;0.0
18;6;33;0001;0.0;0.0;0.3286219081272085;0.6713780918727915;0.0;0.0
18;6;33;0002;0.0;0.0;0.2786377708978328;0.7213622291021672;0.0;0.0
18;6;33;0003;0.0;0.0;0.34519572953736655;0.6548042704626335;0.0;0.0
18;6;33;0009;0.0;0.0;0.4553191489361702;0.5446808510638298;0.0;0.0
18;6;33;0010;0.0;0.0;0.38652482269503546;0.6134751773049646;0.0;0.0
18;6;33;0011;0.0;0.0;0.3287671232876712;0.6712328767123288;0.0;0.0
18;6;33;0012;0.0;0.0;0.34439834024896265;0.6556016597510373;0.0;0.0
18;6;33;0013;0.0;0.0;0.7142857142857143;0.2857142857142857;0.0;0.0
18;6;33;0014;0.0;0.0;0.4225352112676056;0.5774647887323944;0.0;0.0
18;6;33;0015;0.0;0.0;0.49800796812749004;0.50199203187251;0.0;0.0
18;6;33;0016;0.0;0.0;0.3975409836065574;0.6024590163934426;0.0;0.0
18;6;33;0017;0.0;0.0;0.4935064935064935;0.5064935064935064;0.0;0.0
18;6;33;0018;0.0;0.0;0.42105263157894735;0.5789473684210527;0.0;0.0
18;6;33;0019;0.0;0.0;0.49337748344370863;0.5066225165562914;0.0;0.0
18;6;33;0034;0.0;0.0;0.3442622950819672;0.6557377049180327;0.0;0.0
18;6;33;0035;0.0;0.0;0.47738693467336685;0.5226130653266332;0.0;0.0
18;6;33;0036;0.0;0.0;0.46296296296296297;0.5370370370370371;0.0;0.0
