Département;Code du Canton;Libellé du Canton;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Binôme_0;Nuance_0;Voix_0;%Voix/Exp_0;%Voix/Ins_0;Binôme_1;Nuance_1;Voix_1;%Voix/Exp_1;%Voix/Ins_1;Binôme_2;Nuance_2;Voix_2;%Voix/Exp_2;%Voix/Ins_2;Binôme_3;Nuance_3;Voix_3;%Voix/Exp_3;%Voix/Ins_3;Binôme_4;Nuance_4;Voix_4;%Voix/Exp_4;%Voix/Ins_4;Binôme_5;Nuance_5;Voix_5;%Voix/Exp_5;%Voix/Ins_5;Binôme_6;Nuance_6;Voix_6;%Voix/Exp_6;%Voix/Ins_6;Binôme_7;Nuance_7;Voix_7;%Voix/Exp_7;%Voix/Ins_7;Binôme_8;Nuance_8;Voix_8;%Voix/Exp_8;%Voix/Ins_8;Binôme_9;Nuance_9;Voix_9;%Voix/Exp_9;%Voix/Ins_9;Binôme_10;Nuance_10;Voix_10;%Voix/Exp_10;%Voix/Ins_10;Binôme_11;Nuance_11;Voix_11;%Voix/Exp_11;%Voix/Ins_11;Binôme_12;Nuance_12;Voix_12;%Voix/Exp_12;%Voix/Ins_12;Binôme_13;Nuance_13;Voix_13;%Voix/Exp_13;%Voix/Ins_13
54;9;Lunéville-2;26032;17304;8728;134;136;8458;M. Thibault BAZIN;BC-UCD;3880.0;45.87;14.9;Mme Evelyne MATHIS;BC-UGE;2479.0;29.31;9.52;M. Philippe GILLES;BC-RN;1870.0;22.11;7.18;M. Sylvain BARLIER;BC-DIV;229.0;2.71;0.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;10;Meine au Saintois;21027;13143;7884;307;152;7425;M. Denis KIEFFER;BC-UGE;3088.0;41.59;14.69;Mme Cinthya HENON;BC-UCD;2295.0;30.91;10.91;Mme Marie-Catherine MERCIER;BC-RN;2042.0;27.5;9.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;11;Mont-Saint-Martin;19346;14650;4696;180;82;4434;M. Serge DE CARLI;BC-UGE;2085.0;47.02;10.78;M. Eric GILLARDIN;BC-UCD;1209.0;27.27;6.25;Mme Angélique LEMOINE;BC-RN;1140.0;25.71;5.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;12;Nancy-1;18308;11531;6777;154;89;6534;Mme Marie AL KATTANI;BC-UGE;2836.0;43.4;15.49;M. Matthieu DAP;BC-UCD;2419.0;37.02;13.21;M. Grégoire EURY;BC-RN;914.0;13.99;4.99;M. Joe LABAT;BC-DVG;365.0;5.59;1.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;13;Nancy-2;16097;11007;5090;146;63;4881;Mme Chaynesse KHIROUNI;BC-UGE;2821.0;57.8;17.53;Mme Carina-Anne HADRIE;BC-UCD;1436.0;29.42;8.92;M. Fabrice CHAUVIERE;BC-RN;624.0;12.78;3.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;14;Nancy-3;16759;11507;5252;134;51;5067;M. Lionel ADAM;BC-UGE;2367.0;46.71;14.12;M. Jean-François GABRIEL;BC-UCD;938.0;18.51;5.6;Mme Amina DAHOUN;BC-REM;905.0;17.86;5.4;Mme Patricia MELET;BC-RN;857.0;16.91;5.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;15;Neuves-Maisons;19378;13312;6066;151;80;5835;Mme Audrey BARDOT NORMAND;BC-UGE;2871.0;49.2;14.82;M. Anthony BELLORINI;BC-RN;1553.0;26.62;8.01;Mme Isabelle GUICHETEAU;BC-UCD;1411.0;24.18;7.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;16;Le Nord-Toulois;20546;13698;6848;238;73;6537;Mme Corinne LALANCE;BC-UCD;2400.0;36.71;11.68;M. Denis FOURRIERE;BC-UGE;2127.0;32.54;10.35;Mme Marie-Christine SPITZ;BC-RN;2010.0;30.75;9.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;17;Pays de Briey;26451;20289;6162;331;143;5688;M. André CORZANI;BC-UGE;3624.0;63.71;13.7;M. Remy HALFTERMEYER;BC-RN;2064.0;36.29;7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;18;Pont-à-Mousson;24649;17610;7039;172;129;6738;Mme Jennifer BARREAU;BC-UGE;2737.0;40.62;11.1;Mme Marlène CURINA PRILLIEUX;BC-UCD;2192.0;32.53;8.89;M. Eric BOURG;BC-RN;1809.0;26.85;7.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;19;Saint-Max;25923;18110;7813;144;106;7563;Mme Nadine CADET;BC-UGE;3270.0;43.24;12.61;M. Eric PENSALFINI;BC-UCD;3164.0;41.84;12.21;M. Jérôme COLIN;BC-RN;1129.0;14.93;4.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
