Code du département;Libellé du département;Code du canton;Libellé du canton;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp
2;AISNE;21;NEUFCHÂTEL-SUR-AISNE;7014;3856;54.98;3158;45.02;87;1.24;2.75;3071;43.78;97.25;M;MEJEAN;Gérard;RDG;846;12.06;27.55;M;TIMMERMAN;Philippe;DVD;1354;19.3;44.09;F;BEAUVILLAIN;Simone;FN;871;12.42;28.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;23;LE-NOUVION-EN-THIÉRACHE;4814;2212;45.95;2602;54.05;63;1.31;2.42;2539;52.74;97.58;M;GOBEAUT;Michel;COM;84;1.74;3.31;M;THOMAS;Thierry;SOC;992;20.61;39.07;M;PETIAU;Eric;UMP;449;9.33;17.68;F;CAIL;Roselyne;DVD;528;10.97;20.8;F;FOURNIER;Anne-Marie;FN;486;10.1;19.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;25;RIBEMONT;6375;3064;48.06;3311;51.94;94;1.47;2.84;3217;50.46;97.16;M;POTELET;Michel;SOC;1820;28.55;56.57;M;CAPLIN;Emmanuel;UMP;618;9.69;19.21;M;ROUX;Jean-Louis;FN;779;12.22;24.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;27;SAINS-RICHAUMONT;3328;1169;35.13;2159;64.87;71;2.13;3.29;2088;62.74;96.71;M;LEFEVRE;Michel;SOC;1074;32.27;51.44;F;DOUCY;Béatrice;M;606;18.21;29.02;M;CHABOT;Pierre;FN;408;12.26;19.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;28;SAINT-QUENTIN-CENTRE;11987;7283;60.76;4704;39.24;129;1.08;2.74;4575;38.17;97.26;M;TOURNAY;Olivier;COM;304;2.54;6.64;M;ANDURAND;Stéphane;SOC;1046;8.73;22.86;M;WARGNIER;Daniel;ECO;157;1.31;3.43;M;MONNOYER;Stéphane;MODM;210;1.75;4.59;F;BLERIOT;Colette;UMP;1695;14.14;37.05;M;LEJEUNE;Yannick;FN;1163;9.7;25.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;30;SISSONNE;7207;3560;49.4;3647;50.6;101;1.4;2.77;3546;49.2;97.23;M;LOIZON;Willy;COM;231;3.21;6.51;M;LEBEE;Pierre-Marie;SOC;1569;21.77;44.25;M;LORAIN;Alain;DVD;987;13.7;27.83;F;KIWADE;Viviane;FN;759;10.53;21.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;32;VAILLY-SUR-AISNE;7395;3659;49.48;3736;50.52;76;1.03;2.03;3660;49.49;97.97;M;GRELOT;Claude;COM;265;3.58;7.24;M;BATTEFORT;Arnaud;SOC;1056;14.28;28.85;F;VENET;Annick;DVD;1507;20.38;41.17;M;GOSSET;Dominique;FN;832;11.25;22.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;33;VERMAND;7325;3454;47.15;3871;52.85;143;1.95;3.69;3728;50.89;96.31;M;LEFEVRE;Thierry;DVG;1962;26.78;52.63;M;JOSSE;Philippe;UMP;843;11.51;22.61;F;PLONQUET;Christiane;FN;923;12.6;24.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;34;VERVINS;5979;2775;46.41;3204;53.59;73;1.22;2.28;3131;52.37;97.72;F;COLPIN;Chantal;PG;192;3.21;6.13;M;BALLIGAND;Jean-Pierre;SOC;1534;25.66;48.99;M;MEURICE;José;ECO;117;1.96;3.74;M;TAQUET;Xavier;UMP;690;11.54;22.04;M;FONTAINE;André;FN;598;10;19.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;35;VIC-SUR-AISNE;7776;4045;52.02;3731;47.98;105;1.35;2.81;3626;46.63;97.19;F;VAN-TREECK;Sarah;COM;146;1.88;4.03;M;LESTRAT;Jacques;PG;180;2.31;4.96;M;MORAUX;Jean-Luc;SOC;1252;16.1;34.53;M;REBEROT;Nicolas;UMP;1096;14.09;30.23;M;BLANDIN;Jacky;FN;952;12.24;26.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
